Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
CL,228,228.0,market,sell,,76.65,filled,2023-08-07 13:32:16.009149+00:00,2023-08-07 13:32:16.647845+00:00
MMM,165,165.0,market,sell,,106.11,filled,2023-08-07 13:32:14.021721+00:00,2023-08-07 13:32:14.773124+00:00
UBER,385,385.0,market,sell,,44.738182,filled,2023-08-07 13:32:08.407415+00:00,2023-08-07 13:32:12.849249+00:00
BLK,24,24.0,market,buy,,716.78,filled,2023-08-07 13:32:02.805835+00:00,2023-08-07 13:32:06.969422+00:00
NEE,251,251.0,market,buy,,69.46,filled,2023-08-07 13:31:58.241771+00:00,2023-08-07 13:32:00.968064+00:00
CB,86,86.0,market,buy,,202.35,filled,2023-08-07 13:31:56.339016+00:00,2023-08-07 13:31:57.478015+00:00
PM,181,181.0,market,buy,,96.6,filled,2023-08-07 13:31:54.457762+00:00,2023-08-07 13:31:55.125526+00:00
IBM,120,120.0,market,buy,,145.454667,filled,2023-08-07 13:31:48.846788+00:00,2023-08-07 13:31:53.724972+00:00
PEP,94,94.0,market,buy,,185.931595,filled,2023-08-07 13:31:44.037137+00:00,2023-08-07 13:31:47.208869+00:00
CHTR,41,41.0,market,buy,,421.48,filled,2023-08-07 13:31:40.847666+00:00,2023-08-07 13:31:42.460098+00:00
PANW,79,79.0,market,buy,,217.61,filled,2023-08-07 13:31:40.022475+00:00,2023-08-07 13:31:40.200034+00:00
ICE,152,152.0,market,buy,,115.16,filled,2023-08-07 13:31:36.848962+00:00,2023-08-07 13:31:39.368019+00:00
SBUX,173,173.0,market,buy,,101.45,filled,2023-08-07 13:31:33.687486+00:00,2023-08-07 13:31:36.098610+00:00
BAC,556,556.0,market,buy,,31.49,filled,2023-08-07 13:31:31.825682+00:00,2023-08-07 13:31:32.262266+00:00
AMAT,119,119.0,market,buy,,147.73,filled,2023-08-07 13:31:29.888692+00:00,2023-08-07 13:31:30.494513+00:00
MNST,316,316.0,market,buy,,56.0,filled,2023-08-07 13:31:28.048276+00:00,2023-08-07 13:31:28.984274+00:00
REGN,22,22.0,market,buy,,771.0,filled,2023-08-07 13:31:24.898472+00:00,2023-08-07 13:31:27.046972+00:00
LRCX,25,25.0,market,buy,,700.0,filled,2023-08-07 13:31:19.378852+00:00,2023-08-07 13:31:23.536942+00:00
DUK,194,194.0,market,buy,,89.81,filled,2023-08-07 13:31:16.195966+00:00,2023-08-07 13:31:17.892934+00:00
MAR,85,85.0,market,buy,,204.24,filled,2023-08-07 13:31:14.135243+00:00,2023-08-07 13:31:14.742866+00:00
M,1068,1068.0,market,buy,,16.23,filled,2023-08-07 13:31:12.087627+00:00,2023-08-07 13:31:12.777532+00:00
M,1068,1068.0,market,buy,,16.23,filled,2023-08-07 13:31:10.045899+00:00,2023-08-07 13:31:11.357899+00:00
RTX,206,206.0,market,buy,,84.976359,filled,2023-08-07 13:31:05.623094+00:00,2023-08-07 13:31:09.196435+00:00
FCX,409,409.0,market,buy,,42.7,filled,2023-08-07 13:31:03.145262+00:00,2023-08-07 13:31:03.891987+00:00
INTC,495,495.0,market,buy,,35.44,filled,2023-08-07 13:30:59.303583+00:00,2023-08-07 13:31:00.794742+00:00
UNH,34,34.0,market,buy,,506.25,filled,2023-08-07 13:30:57.225597+00:00,2023-08-07 13:30:58.190789+00:00
TGT,131,131.0,market,buy,,132.93,filled,2023-08-07 13:30:54.068987+00:00,2023-08-07 13:30:56.376223+00:00
